query,result,rank,click,dwell_time,relevance,ctr,adjusted_relevance,ai_relevance,normalized_ai_relevance,behavior_weight,weighted_relevance,original_score,fine_tuned_score
best programming languages 2025,Best languages to learn,1,1,48,1,0.0031545741324921,48,9.530770330457017e-05,0.250025622329893,98,24.502510988329515,9.530770330457017e-05,24.502510988329515
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0,7.872181595303118e-05,0.16764578419074058,1,0.16764578419074058,7.872181595303118e-05,0.16764578419074058
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
weather new york,NYC weather today,1,0,0,0,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,0,0,0,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,0,0,0,0.0,0,4.4968968722969294e-05,0.0,1,0.0,4.4968968722969294e-05,0.0
learn python,Python tutorial,1,0,0,0,0.0,0,0.00024630327243357897,1.0,1,1.0,0.00024630327243357897,1.0
learn python,Learn Python fast,2,1,41,1,0.0032467532467532,41,9.176792082143947e-05,0.23244400599381823,84,19.52529650348073,9.176792082143947e-05,19.52529650348073
learn python,Python for beginners,3,0,0,0,0.0,0,0.00015580591571051627,0.5505119840226522,1,0.5505119840226522,0.00015580591571051627,0.5505119840226522
best programming languages 2025,Best languages to learn,1,1,36,1,0.0031545741324921,36,9.530770330457017e-05,0.250025622329893,74,18.501896052412082,9.530770330457017e-05,18.501896052412082
best programming languages 2025,Top programming languages,2,1,60,1,0.0031545741324921,60,7.872181595303118e-05,0.16764578419074058,122,20.45278567127035,7.872181595303118e-05,20.45278567127035
best programming languages 2025,Most in-demand coding skills,3,1,2,1,0.0031545741324921,2,9.59332101047039e-05,0.2531324292108149,6,1.5187945752648895,9.59332101047039e-05,1.5187945752648895
cheap flights tokyo,Flight deals to Tokyo,1,1,20,1,0.0032467532467532,20,7.034215377643704e-05,0.12602514616653807,42,5.293056138994599,7.034215377643704e-05,5.293056138994599
cheap flights tokyo,Cheapest Tokyo flights,2,1,9,1,0.0032467532467532,9,0.00010685342567740008,0.3073716491124193,20,6.147432982248386,0.00010685342567740008,6.147432982248386
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0,7.034215377643704e-05,0.12602514616653807,1,0.12602514616653807,7.034215377643704e-05,0.12602514616653807
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0,0.00010685342567740008,0.3073716491124193,1,0.3073716491124193,0.00010685342567740008,0.3073716491124193
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
learn python,Python tutorial,1,0,0,1,0.0,0,0.00024630327243357897,1.0,1,1.0,0.00024630327243357897,1.0
learn python,Learn Python fast,2,0,0,0,0.0,0,9.176792082143947e-05,0.23244400599381823,1,0.23244400599381823,9.176792082143947e-05,0.23244400599381823
learn python,Python for beginners,3,0,0,1,0.0,0,0.00015580591571051627,0.5505119840226522,1,0.5505119840226522,0.00015580591571051627,0.5505119840226522
weather new york,NYC weather today,1,0,0,1,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,0,0,0,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,1,20,1,0.0033112582781456,20,4.4968968722969294e-05,0.0,42,0.0,4.4968968722969294e-05,0.0
best laptop gaming,Laptop A review,1,1,60,1,0.0033557046979865,60,6.9844325480517e-05,0.12355250098514062,122,15.073405120187156,6.9844325480517e-05,15.073405120187156
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0,9.61163459578529e-05,0.25404203999136143,1,0.25404203999136143,9.61163459578529e-05,0.25404203999136143
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0,7.160750828916207e-05,0.13230998928271062,1,0.13230998928271062,7.160750828916207e-05,0.13230998928271062
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0,9.530770330457017e-05,0.250025622329893,1,0.250025622329893,9.530770330457017e-05,0.250025622329893
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0,7.872181595303118e-05,0.16764578419074058,1,0.16764578419074058,7.872181595303118e-05,0.16764578419074058
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
weather new york,NYC weather today,1,0,0,0,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,1,41,1,0.0033112582781456,41,4.905077730654739e-05,0.02027378597859375,84,1.702998022201875,4.905077730654739e-05,1.702998022201875
weather new york,New York climate,3,0,0,1,0.0,0,4.4968968722969294e-05,0.0,1,0.0,4.4968968722969294e-05,0.0
learn python,Python tutorial,1,1,58,1,0.0032467532467532,58,0.00024630327243357897,1.0,118,118.0,0.00024630327243357897,118.0
learn python,Learn Python fast,2,1,25,1,0.0032467532467532,25,9.176792082143947e-05,0.23244400599381823,52,12.087088311678547,9.176792082143947e-05,12.087088311678547
learn python,Python for beginners,3,0,0,1,0.0,0,0.00015580591571051627,0.5505119840226522,1,0.5505119840226522,0.00015580591571051627,0.5505119840226522
learn python,Python tutorial,1,1,36,1,0.0032467532467532,36,0.00024630327243357897,1.0,74,74.0,0.00024630327243357897,74.0
learn python,Learn Python fast,2,1,28,1,0.0032467532467532,28,9.176792082143947e-05,0.23244400599381823,58,13.481752347641457,9.176792082143947e-05,13.481752347641457
learn python,Python for beginners,3,1,16,1,0.0032467532467532,16,0.00015580591571051627,0.5505119840226522,34,18.717407456770175,0.00015580591571051627,18.717407456770175
best programming languages 2025,Best languages to learn,1,1,20,1,0.0031545741324921,20,9.530770330457017e-05,0.250025622329893,42,10.501076137855506,9.530770330457017e-05,10.501076137855506
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0,7.872181595303118e-05,0.16764578419074058,1,0.16764578419074058,7.872181595303118e-05,0.16764578419074058
best programming languages 2025,Most in-demand coding skills,3,1,47,1,0.0031545741324921,47,9.59332101047039e-05,0.2531324292108149,96,24.30071320423823,9.59332101047039e-05,24.30071320423823
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0,9.530770330457017e-05,0.250025622329893,1,0.250025622329893,9.530770330457017e-05,0.250025622329893
best programming languages 2025,Top programming languages,2,1,37,1,0.0031545741324921,37,7.872181595303118e-05,0.16764578419074058,76,12.741079598496285,7.872181595303118e-05,12.741079598496285
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
weather new york,NYC weather today,1,1,57,1,0.0033112582781456,57,5.4528714827029034e-05,0.047481953784689196,116,5.507906639023947,5.4528714827029034e-05,5.507906639023947
weather new york,Weather forecast,2,0,0,1,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,0,0,0,0.0,0,4.4968968722969294e-05,0.0,1,0.0,4.4968968722969294e-05,0.0
best laptop gaming,Laptop A review,1,1,5,1,0.0033557046979865,5,6.9844325480517e-05,0.12355250098514062,12,1.4826300118216875,6.9844325480517e-05,1.4826300118216875
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0,9.61163459578529e-05,0.25404203999136143,1,0.25404203999136143,9.61163459578529e-05,0.25404203999136143
best laptop gaming,Top gaming laptops,3,1,49,1,0.0033557046979865,49,7.160750828916207e-05,0.13230998928271062,100,13.230998928271061,7.160750828916207e-05,13.230998928271061
weather new york,NYC weather today,1,0,0,1,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,0,0,1,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,1,4,1,0.0033112582781456,4,4.4968968722969294e-05,0.0,10,0.0,4.4968968722969294e-05,0.0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0,7.034215377643704e-05,0.12602514616653807,1,0.12602514616653807,7.034215377643704e-05,0.12602514616653807
cheap flights tokyo,Cheapest Tokyo flights,2,1,46,1,0.0032467532467532,46,0.00010685342567740008,0.3073716491124193,94,28.892935016567417,0.00010685342567740008,28.892935016567417
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
weather new york,NYC weather today,1,0,0,0,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,0,0,0,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,1,6,1,0.0033112582781456,6,4.4968968722969294e-05,0.0,14,0.0,4.4968968722969294e-05,0.0
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0,9.530770330457017e-05,0.250025622329893,1,0.250025622329893,9.530770330457017e-05,0.250025622329893
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0,7.872181595303118e-05,0.16764578419074058,1,0.16764578419074058,7.872181595303118e-05,0.16764578419074058
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
weather new york,NYC weather today,1,0,0,1,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,0,0,0,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,1,18,1,0.0033112582781456,18,4.4968968722969294e-05,0.0,38,0.0,4.4968968722969294e-05,0.0
weather new york,NYC weather today,1,1,6,1,0.0033112582781456,6,5.4528714827029034e-05,0.047481953784689196,14,0.6647473529856487,5.4528714827029034e-05,0.6647473529856487
weather new york,Weather forecast,2,1,42,1,0.0033112582781456,42,4.905077730654739e-05,0.02027378597859375,86,1.7435455941590625,4.905077730654739e-05,1.7435455941590625
weather new york,New York climate,3,1,34,1,0.0033112582781456,34,4.4968968722969294e-05,0.0,70,0.0,4.4968968722969294e-05,0.0
weather new york,NYC weather today,1,1,29,1,0.0033112582781456,29,5.4528714827029034e-05,0.047481953784689196,60,2.8489172270813516,5.4528714827029034e-05,2.8489172270813516
weather new york,Weather forecast,2,1,4,1,0.0033112582781456,4,4.905077730654739e-05,0.02027378597859375,10,0.2027378597859375,4.905077730654739e-05,0.2027378597859375
weather new york,New York climate,3,1,57,1,0.0033112582781456,57,4.4968968722969294e-05,0.0,116,0.0,4.4968968722969294e-05,0.0
weather new york,NYC weather today,1,1,20,1,0.0033112582781456,20,5.4528714827029034e-05,0.047481953784689196,42,1.9942420589569463,5.4528714827029034e-05,1.9942420589569463
weather new york,Weather forecast,2,0,0,1,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,1,10,1,0.0033112582781456,10,4.4968968722969294e-05,0.0,22,0.0,4.4968968722969294e-05,0.0
best programming languages 2025,Best languages to learn,1,1,42,1,0.0031545741324921,42,9.530770330457017e-05,0.250025622329893,86,21.5022035203708,9.530770330457017e-05,21.5022035203708
best programming languages 2025,Top programming languages,2,1,29,1,0.0031545741324921,29,7.872181595303118e-05,0.16764578419074058,60,10.058747051444435,7.872181595303118e-05,10.058747051444435
