query,result,rank,click,dwell_time,relevance,ctr,adjusted_relevance
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,1,41,1,0.0033112582781456954,41
weather new york,New York climate,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,58,1,0.003246753246753247,58
learn python,Learn Python fast,2,1,25,1,0.003246753246753247,25
learn python,Python for beginners,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,36,1,0.003246753246753247,36
learn python,Learn Python fast,2,1,28,1,0.003246753246753247,28
learn python,Python for beginners,3,1,16,1,0.003246753246753247,16
best programming languages 2025,Best languages to learn,1,1,20,1,0.0031545741324921135,20
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,47,1,0.0031545741324921135,47
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,1,37,1,0.0031545741324921135,37
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
weather new york,NYC weather today,1,1,57,1,0.0033112582781456954,57
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,5,1,0.003355704697986577,5
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0
best laptop gaming,Top gaming laptops,3,1,49,1,0.003355704697986577,49
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,1,4,1,0.0033112582781456954,4
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,46,1,0.003246753246753247,46
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,1,6,1,0.0033112582781456954,6
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,1,18,1,0.0033112582781456954,18
weather new york,NYC weather today,1,1,6,1,0.0033112582781456954,6
weather new york,Weather forecast,2,1,42,1,0.0033112582781456954,42
weather new york,New York climate,3,1,34,1,0.0033112582781456954,34
weather new york,NYC weather today,1,1,29,1,0.0033112582781456954,29
weather new york,Weather forecast,2,1,4,1,0.0033112582781456954,4
weather new york,New York climate,3,1,57,1,0.0033112582781456954,57
weather new york,NYC weather today,1,1,20,1,0.0033112582781456954,20
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,1,10,1,0.0033112582781456954,10
best programming languages 2025,Best languages to learn,1,1,42,1,0.0031545741324921135,42
best programming languages 2025,Top programming languages,2,1,29,1,0.0031545741324921135,29
best programming languages 2025,Most in-demand coding skills,3,1,2,1,0.0031545741324921135,2
best programming languages 2025,Best languages to learn,1,1,22,1,0.0031545741324921135,22
best programming languages 2025,Top programming languages,2,1,32,1,0.0031545741324921135,32
best programming languages 2025,Most in-demand coding skills,3,1,58,1,0.0031545741324921135,58
learn python,Python tutorial,1,1,39,1,0.003246753246753247,39
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,1,43,1,0.003246753246753247,43
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,24,1,0.003246753246753247,24
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,44,1,0.003246753246753247,44
learn python,Learn Python fast,2,1,33,1,0.003246753246753247,33
learn python,Python for beginners,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,5,1,0.003246753246753247,5
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,10,1,0.003246753246753247,10
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
weather new york,NYC weather today,1,1,6,1,0.0033112582781456954,6
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,1,27,1,0.0033112582781456954,27
best laptop gaming,Laptop A review,1,1,24,1,0.003355704697986577,24
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,1,25,1,0.003355704697986577,25
learn python,Python tutorial,1,1,33,1,0.003246753246753247,33
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,0,0,1,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,47,1,0.003246753246753247,47
learn python,Python for beginners,3,1,45,1,0.003246753246753247,45
best programming languages 2025,Best languages to learn,1,1,4,1,0.0031545741324921135,4
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,22,1,0.0031545741324921135,22
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,1,29,1,0.0031545741324921135,29
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,10,1,0.003246753246753247,10
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,35,1,0.003246753246753247,35
learn python,Learn Python fast,2,1,53,1,0.003246753246753247,53
learn python,Python for beginners,3,0,0,0,0.0,0
learn python,Python tutorial,1,1,57,1,0.003246753246753247,57
learn python,Learn Python fast,2,1,59,1,0.003246753246753247,59
learn python,Python for beginners,3,0,0,0,0.0,0
learn python,Python tutorial,1,1,45,1,0.003246753246753247,45
learn python,Learn Python fast,2,1,43,1,0.003246753246753247,43
learn python,Python for beginners,3,1,36,1,0.003246753246753247,36
best laptop gaming,Laptop A review,1,1,41,1,0.003355704697986577,41
best laptop gaming,Laptop B specs,2,1,55,1,0.003355704697986577,55
best laptop gaming,Top gaming laptops,3,1,59,1,0.003355704697986577,59
weather new york,NYC weather today,1,1,19,1,0.0033112582781456954,19
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,47,1,0.003355704697986577,47
best laptop gaming,Laptop B specs,2,1,38,1,0.003355704697986577,38
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,1,52,1,0.0031545741324921135,52
best programming languages 2025,Most in-demand coding skills,3,1,43,1,0.0031545741324921135,43
best laptop gaming,Laptop A review,1,1,13,1,0.003355704697986577,13
best laptop gaming,Laptop B specs,2,1,38,1,0.003355704697986577,38
best laptop gaming,Top gaming laptops,3,1,9,1,0.003355704697986577,9
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,1,13,1,0.003355704697986577,13
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,1,33,1,0.003355704697986577,33
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,30,1,0.003246753246753247,30
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,40,1,0.003246753246753247,40
cheap flights tokyo,Cheapest Tokyo flights,2,1,35,1,0.003246753246753247,35
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,1,15,1,0.0031545741324921135,15
best programming languages 2025,Top programming languages,2,1,51,1,0.0031545741324921135,51
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,16,1,0.003246753246753247,16
learn python,Python for beginners,3,1,28,1,0.003246753246753247,28
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,28,1,0.0033112582781456954,28
weather new york,New York climate,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,51,1,0.003246753246753247,51
learn python,Python for beginners,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,1,7,1,0.0031545741324921135,7
best programming languages 2025,Most in-demand coding skills,3,1,59,1,0.0031545741324921135,59
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,29,1,0.003246753246753247,29
learn python,Python tutorial,1,1,9,1,0.003246753246753247,9
learn python,Learn Python fast,2,1,12,1,0.003246753246753247,12
learn python,Python for beginners,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0
best laptop gaming,Top gaming laptops,3,1,60,1,0.003355704697986577,60
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,1,39,1,0.0033112582781456954,39
weather new york,New York climate,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,1,32,1,0.003246753246753247,32
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,1,42,1,0.0033112582781456954,42
weather new york,New York climate,3,1,21,1,0.0033112582781456954,21
best programming languages 2025,Best languages to learn,1,1,10,1,0.0031545741324921135,10
best programming languages 2025,Top programming languages,2,1,59,1,0.0031545741324921135,59
best programming languages 2025,Most in-demand coding skills,3,1,49,1,0.0031545741324921135,49
best laptop gaming,Laptop A review,1,1,36,1,0.003355704697986577,36
best laptop gaming,Laptop B specs,2,1,10,1,0.003355704697986577,10
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,1,50,1,0.003355704697986577,50
best laptop gaming,Top gaming laptops,3,1,49,1,0.003355704697986577,49
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,11,1,0.003246753246753247,11
cheap flights tokyo,Best airlines to Japan,3,1,17,1,0.003246753246753247,17
learn python,Python tutorial,1,1,32,1,0.003246753246753247,32
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,1,20,1,0.0031545741324921135,20
best programming languages 2025,Most in-demand coding skills,3,1,28,1,0.0031545741324921135,28
weather new york,NYC weather today,1,1,23,1,0.0033112582781456954,23
weather new york,Weather forecast,2,1,38,1,0.0033112582781456954,38
weather new york,New York climate,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,4,1,0.003246753246753247,4
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,4,1,0.003246753246753247,4
cheap flights tokyo,Cheapest Tokyo flights,2,1,28,1,0.003246753246753247,28
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,1,19,1,0.0031545741324921135,19
best programming languages 2025,Top programming languages,2,1,21,1,0.0031545741324921135,21
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,1,15,1,0.003246753246753247,15
learn python,Python for beginners,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,1,35,1,0.0031545741324921135,35
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,19,1,0.003246753246753247,19
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,0,0,1,0.0,0
weather new york,NYC weather today,1,1,26,1,0.0033112582781456954,26
weather new york,Weather forecast,2,1,30,1,0.0033112582781456954,30
weather new york,New York climate,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,3,1,0.003246753246753247,3
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,8,1,0.003246753246753247,8
cheap flights tokyo,Flight deals to Tokyo,1,1,13,1,0.003246753246753247,13
cheap flights tokyo,Cheapest Tokyo flights,2,1,7,1,0.003246753246753247,7
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,38,1,0.003355704697986577,38
best laptop gaming,Laptop B specs,2,1,48,1,0.003355704697986577,48
best laptop gaming,Top gaming laptops,3,1,46,1,0.003355704697986577,46
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,1,49,1,0.003355704697986577,49
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,56,1,0.003355704697986577,56
best laptop gaming,Laptop B specs,2,1,5,1,0.003355704697986577,5
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
learn python,Python tutorial,1,1,20,1,0.003246753246753247,20
learn python,Learn Python fast,2,1,29,1,0.003246753246753247,29
learn python,Python for beginners,3,1,10,1,0.003246753246753247,10
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,26,1,0.003246753246753247,26
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,1,13,1,0.003246753246753247,13
learn python,Python for beginners,3,1,29,1,0.003246753246753247,29
cheap flights tokyo,Flight deals to Tokyo,1,1,12,1,0.003246753246753247,12
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,15,1,0.003246753246753247,15
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,47,1,0.003246753246753247,47
cheap flights tokyo,Best airlines to Japan,3,1,25,1,0.003246753246753247,25
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,58,1,0.003246753246753247,58
cheap flights tokyo,Cheapest Tokyo flights,2,1,9,1,0.003246753246753247,9
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,16,1,0.003246753246753247,16
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,32,1,0.0033112582781456954,32
weather new york,New York climate,3,1,22,1,0.0033112582781456954,22
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,35,1,0.0031545741324921135,35
best laptop gaming,Laptop A review,1,1,7,1,0.003355704697986577,7
best laptop gaming,Laptop B specs,2,1,20,1,0.003355704697986577,20
best laptop gaming,Top gaming laptops,3,1,45,1,0.003355704697986577,45
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,55,1,0.0033112582781456954,55
weather new york,New York climate,3,1,58,1,0.0033112582781456954,58
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,55,1,0.003246753246753247,55
learn python,Python for beginners,3,1,58,1,0.003246753246753247,58
best laptop gaming,Laptop A review,1,1,59,1,0.003355704697986577,59
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,12,1,0.003246753246753247,12
cheap flights tokyo,Cheapest Tokyo flights,2,1,34,1,0.003246753246753247,34
cheap flights tokyo,Best airlines to Japan,3,1,56,1,0.003246753246753247,56
weather new york,NYC weather today,1,1,52,1,0.0033112582781456954,52
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,1,21,1,0.0033112582781456954,21
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,21,1,0.003246753246753247,21
cheap flights tokyo,Best airlines to Japan,3,1,2,1,0.003246753246753247,2
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,1,15,1,0.003355704697986577,15
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,52,1,0.003246753246753247,52
cheap flights tokyo,Flight deals to Tokyo,1,1,41,1,0.003246753246753247,41
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,1,2,1,0.0031545741324921135,2
best programming languages 2025,Most in-demand coding skills,3,1,59,1,0.0031545741324921135,59
cheap flights tokyo,Flight deals to Tokyo,1,1,58,1,0.003246753246753247,58
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,31,1,0.003246753246753247,31
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,1,28,1,0.0031545741324921135,28
best programming languages 2025,Most in-demand coding skills,3,1,59,1,0.0031545741324921135,59
best programming languages 2025,Best languages to learn,1,1,49,1,0.0031545741324921135,49
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,25,1,0.0031545741324921135,25
best laptop gaming,Laptop A review,1,0,0,1,0.0,0
best laptop gaming,Laptop B specs,2,1,21,1,0.003355704697986577,21
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
